step	trial	trial_id	layout	uid	control	coordination	variableExplicabilite	time_elapsed	score	human_action_count	agent_action_count	agent_stuck_loop	hl_switch	agent_interact_count	human_interact_count	achieved_orders_len	bloc	trialuidQPT	median_interactioncount	median_time_elapsed	AtoH	HtoA	coll_tot	median_collisions	ContributionRelativeHuman	ContributionUtile	Min	Max	MMControlold	EfficacHuman	EfficacRobot	Coordinationbinary	Explicabilitebinary	InteracCoordExplic	InteractionbyActionUnit	TimeforInteraction	MoyHumanInteractByLayout	MoyAgentInteractByLayout	AgentinteractstandardLayout	HumanInteractStandardLayout	MoyHumanActionByLayout	MoyAgentActionByLayout	HumanActionStandarLayout	AgentActionStandardLayout	EfficaciteHumanLayout	MMEfficaciteHumanLayout	EfficaciteAgentLayout	MMEfficaciteAgentLayout	MoyTimeByLayout	TimeElapsedcontrolledforLayout	MinParticipant	MaxParticipant	MMControl	NbDeplacementBylayout	MincontrolLayout	MaxControlLayout	MoycontrolByLayout	MMControlLayout	ZscoreControlLayout	ControlByNbDeplacement	Z_coordination	Z_explicability	Z_time	Z_Deplacement	Efficacite(InteractionsDivByAction)	Z_Deplacement_Categ	Explained_dummy
2	3	62ab2034b58fe149d144acf4_2QPT3	recipe_trial2_1	62ab2034b58fe149d144acf4	1	Unforced_coordination	Non-Explique	52,25135946	34	256	126	45	17	33	38	6	2	62ab2034b58fe149d144acf4_bloc_2_trial_3_cond_Non-Explique	Large_contribution	Fast_game	38	44	82	Lot_of_collisions	0,535211268	1,151515152	1	3	0	0,727253805	0,631562515	-0,5	-0,5	0,25	6,736842105	7,75606117	25,82022472	40,16853933	-7,168539326	12,17977528	210,1235955	177,6404494	45,87640449	-51,64044944	3,766605166	0,555432703	7,203761755	0,657164306	72,42477149	-20,17341202	1	3	0	21	0	4	2,372093023	0,25	-1,372093023	0,047619048	-0,504279601	-0,485734665	-8,237174992	5,057061341	0,1484375	5,057061341	0
2	1	5c791e24266f210012af518d_2QPT1	coord_map2_4	5c791e24266f210012af518d	3	Forced_coordination	Non-Explique	46,8287406	35	115	113	32	6	39	30	6	2	5c791e24266f210012af518d_bloc_2_trial_1_cond_Non-Explique	Large_contribution	Fast_game	0	0	0	0_collision	0,434782609	0,769230769	1	3	1	0,640632219	0,832821885	0,5	-0,5	-0,25	3,833333333	12,2161932	27,39325843	44,61797753	-5,617977528	2,606741573	126,9213483	140,988764	-11,92134831	-27,98876404	-4,573275862	0,54801665	4982	0,654027111	57,68511303	-10,85637244	1	3	1	13	1	4	2,681818182	0,666666667	0,318181818	0,230769231	0,495720399	-0,485734665	-13,65979386	-2,942938659	0,260869565	-2,942938659	0
4	2	627eb5d958fb0ab3c9a3a8c3_4QPT2	recipe_trial4_1	627eb5d958fb0ab3c9a3a8c3	1	Unforced_coordination	Explique	74,0670464	34	183	181	50	13	41	27	6	4	627eb5d958fb0ab3c9a3a8c3_bloc_4_trial_2_cond_Explique	Low_contribution	Low_game	21	13	34	Few_collisions	0,397058824	0,658536585	1	3	0	0,364534585	0,553552517	-0,5	0,5	-0,25	6,777777778	10,92792488	26,91463415	38,93902439	2,06097561	0,085365854	210	168,9390244	-27	12,06097561	-316,2857143	0,270833333	5,852071006	0,655255678	69,02413615	5,04291025	1	3	0	21	0	4	2,56097561	0,25	-1,56097561	0,047619048	-0,504279601	0,514265335	13,57851195	5,057061341	0,147540984	5,057061341	1
4	2	62ab2034b58fe149d144acf4_4QPT2	recipe_trial4_2	62ab2034b58fe149d144acf4	3	Unforced_coordination	Non-Explique	49,18673158	34	226	121	35	11	31	42	6	4	62ab2034b58fe149d144acf4_bloc_4_trial_2_cond_Non-Explique	Large_contribution	Fast_game	13	15	28	Few_collisions	0,575342466	1,35483871	1	3	1	0,853888816	0,630251269	-0,5	-0,5	0,25	5,380952381	9,140897019	29,25	36,30434783	-5,304347826	12,75	176,3043478	161,5217391	49,69565217	-40,52173913	3,89769821	0,555549274	7,639344262	0,657779362	65,27233323	-16,08560165	1	3	1	23	0	4	2,280898876	0,75	0,719101124	0,130434783	-0,504279601	-0,485734665	-11,30180288	7,057061341	0,185840708	7,057061341	0
1	3	5eac9ad77c0fb830e457d0c6_1QPT3	coord_map1_4	5eac9ad77c0fb830e457d0c6	4	Forced_coordination	Explique	41,03082323	35	129	102	65	24	34	32	6	1	5eac9ad77c0fb830e457d0c6_bloc_1_trial_3_cond_Explique	Large_contribution	Fast_game	0	0	0	0_collision	0,484848485	0,941176471	3	4	1	0,779901486	0,828645329	0,5	0,5	0,25	4,03125	10,17818871	27,15730337	45,33707865	-11,33707865	4,842696629	126,9550562	142,2808989	2,04494382	-40,28089888	0,422273782	0,552458831	3,553022795	0,652009352	57,87569265	-16,84486942	3	4	1	13	1	4	2,735632184	1	1,264367816	0,307692308	0,495720399	0,514265335	-19,45771122	-2,942938659	0,248062016	-2,942938659	1
1	0	60accfe06ac6e060a13b4d67_1QPT0	coord_map1_0	60accfe06ac6e060a13b4d67	3	Forced_coordination	Explique	49,47977996	33	106	121	24	6	42	31	6	1	60accfe06ac6e060a13b4d67_bloc_1_trial_0_cond_Explique	Large_contribution	Fast_game	0	0	0	0_collision	0,424657534	0,738095238	1	3	1	0,62651855	0,848831584	0,5	0,5	0,25	3,419354839	14,47050169	27,47826087	43,44565217	-1,445652174	3,52173913	111,9456522	127,3478261	-5,945652174	-6,347826087	-1,688271605	0,550582076	4,390977444	0,653192569	52,19263589	-2,71285593	1	3	1	7	1	4	2,833333333	0,666666667	0,166666667	0,428571429	0,495720399	0,514265335	-11,0087545	-8,942938659	0,29245283	-8,942938659	1
4	3	5cf9179b8c98dc0001d5a431_4QPT3	coord_map4_4	5cf9179b8c98dc0001d5a431	2	Forced_coordination	Non-Explique	48,10216737	35	105	119	61	22	41	30	6	4	5cf9179b8c98dc0001d5a431_bloc_4_trial_3_cond_Non-Explique	Large_contribution	Fast_game	0	0	0	0_collision	0,422535211	0,731707317	1	4	0,333333333	0,623672521	0,852352446	0,5	-0,5	-0,25	3,5	13,74347639	29,11494253	43,5862069	-2,586206897	0,885057471	126,908046	133,3103448	-21,90804598	-14,31034483	-24,75324675	0,530072062	5,533333333	0,65480561	54,20415593	-6,10198856	1	4	0,333333333	13	0	4	2,764705882	0,5	-0,764705882	0,153846154	0,495720399	-0,485734665	-12,38636709	-2,942938659	0,285714286	-2,942938659	0
4	1	610d97bf0ee9babdb89986ea_4QPT1	coord_map4_0	610d97bf0ee9babdb89986ea	0	Forced_coordination	Non-Explique	45,11213064	33	100	112	33	7	37	31	6	4	610d97bf0ee9babdb89986ea_bloc_4_trial_1_cond_Non-Explique	Large_contribution	Fast_game	0	0	0	0_collision	0,455882353	0,837837838	0	3	0	0,687176588	0,820178508	0,5	-0,5	-0,25	3,225806452	13,9847605	28,5483871	39,22580645	-2,225806452	2,451612903	112,3870968	116,7096774	-12,38709677	-4,709677419	-5,052631579	0,547590394	2,115942029	0,64998015	47,3723852	-2,260254559	0	3	0	7	0	4	2,836956522	0	-2,836956522	0	0,495720399	-0,485734665	-15,37640381	-8,942938659	0,31	-8,942938659	0
2	2	5c1a68ecb39cf30001b59956_2QPT2	coord_map2_4	5c1a68ecb39cf30001b59956	4	Forced_coordination	Non-Explique	43,59675646	35	158	108	38	16	39	37	6	2	5c1a68ecb39cf30001b59956_bloc_2_trial_2_cond_Non-Explique	Large_contribution	Fast_game	0	0	0	0_collision	0,486842105	0,948717949	2	4	1	0,84868699	0,894561962	0,5	-0,5	-0,25	4,27027027	10,20936702	27,39325843	44,61797753	-5,617977528	9,606741573	126,9213483	140,988764	31,07865169	-32,98876404	3,235087719	0,554960063	5872	0,655283818	57,68511303	-14,08835658	2	4	1	13	1	4	2,681818182	1	1,318181818	0,307692308	0,495720399	-0,485734665	-16,891778	-2,942938659	0,234177215	-2,942938659	0
1	0	60ddfb3db6a71ad9ba75e387_1QPT0	coord_map1_4	60ddfb3db6a71ad9ba75e387	4	Forced_coordination	Non-Explique	62,54160452	35	111	153	23	5	49	29	6	1	60ddfb3db6a71ad9ba75e387_bloc_1_trial_0_cond_Non-Explique	Large_contribution	Low_game	0	0	0	0_collision	0,371794872	0,591836735	3	4	1	0,463691334	0,78347846	0,5	-0,5	-0,25	3,827586207	16,33969848	27,15730337	45,33707865	3,662921348	1,842696629	126,9550562	142,2808989	-15,95505618	10,71910112	-8,658536585	0,544383923	2,926380368	0,651124513	57,87569265	4,665911869	3	4	1	13	1	4	2,735632184	1	1,264367816	0,307692308	0,495720399	-0,485734665	2,053070064	-2,942938659	0,261261261	-2,942938659	0
